18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:017 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:023 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:031 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:041 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
18:15:18:046 -> S1=5.35 mA, S2=4.90 mA, S3=5.30 mA, S4=5.28 mA
